Time;CPU_millicores;Memory_MiB
2022-08-09 08:12:18.172547774;3;88
2022-08-09 08:12:59.626330216;1;88
2022-08-09 08:13:40.847154331;2;88
2022-08-09 08:14:22.142045760;3;88
2022-08-09 08:15:04.546376349;2;88
2022-08-09 08:15:46.520652005;1;88
2022-08-09 08:16:27.989624274;2;88
2022-08-09 08:17:09.224576742;1;88
2022-08-09 08:17:50.716190088;2;88
2022-08-09 08:18:32.173999094;2;92
2022-08-09 08:19:13.558714083;7;93
2022-08-09 08:19:54.890088329;3;94
2022-08-09 08:20:36.445891411;5;94
2022-08-09 08:21:18.136659361;3;95
2022-08-09 08:21:59.550371953;2;95
2022-08-09 08:22:40.910026270;0;95
2022-08-09 08:23:22.732300503;11;95
2022-08-09 08:24:04.102987110;2;95
2022-08-09 08:24:45.737121122;2;95
2022-08-09 08:25:27.141884466;8;95
2022-08-09 08:26:09.239876884;1;95
2022-08-09 08:26:50.752007769;3;95
2022-08-09 08:27:32.067035144;5;95
2022-08-09 08:28:13.550910169;5;95
2022-08-09 08:28:55.027334563;4;95
2022-08-09 08:29:38.332141327;1;95
2022-08-09 08:30:19.625869504;7;95
2022-08-09 08:31:01.055327923;4;95
2022-08-09 08:31:42.705619116;4;96
2022-08-09 08:32:24.175297771;7;96
2022-08-09 08:33:05.709211059;2;96
2022-08-09 08:33:47.232065477;0;96
2022-08-09 08:34:28.711652930;3;96
2022-08-09 08:35:09.975572192;9;96
2022-08-09 08:35:51.335859565;0;96
2022-08-09 08:36:33.335791362;1;96
2022-08-09 08:37:14.570297701;2;96
2022-08-09 08:37:55.965083649;0;96
2022-08-09 08:38:37.254487171;5;90
2022-08-09 08:39:18.781621306;3;90
2022-08-09 08:40:00.013658593;0;90
2022-08-09 08:40:41.457426404;2;88
2022-08-09 08:41:22.846202437;2;88
2022-08-09 08:42:04.055953882;3;88
2022-08-09 08:42:45.479813690;1;88
2022-08-09 08:43:26.994266367;1;88
2022-08-09 08:44:08.342213344;1;88
2022-08-09 08:44:49.698942769;1;88
2022-08-09 08:45:30.913971066;1;88
2022-08-09 08:46:12.138176892;3;88
2022-08-09 08:46:54.695474784;1;88
2022-08-09 08:47:36.019066505;2;88
2022-08-09 08:48:17.458339050;2;88
2022-08-09 08:48:58.912286800;2;88
2022-08-09 08:49:40.626870831;16;93
2022-08-09 08:50:23.687362442;31;94
2022-08-09 08:51:04.932155268;18;95
2022-08-09 08:51:46.807360966;14;95
2022-08-09 08:52:30.133495499;33;96
2022-08-09 08:53:11.956976655;16;97
2022-08-09 08:53:53.567993228;11;97
2022-08-09 08:54:34.814136011;20;99
2022-08-09 08:55:16.149553766;25;100
2022-08-09 08:55:57.630685423;41;100
2022-08-09 08:56:38.887173462;39;100
2022-08-09 08:57:20.449418253;0;101
2022-08-09 08:58:02.814468852;58;101
2022-08-09 08:58:45.016634041;50;101
2022-08-09 08:59:27.262036603;44;101
2022-08-09 09:00:09.518863810;47;101
2022-08-09 09:00:51.822304732;26;101
2022-08-09 09:01:34.357471936;56;102
2022-08-09 09:02:16.424921431;0;102
2022-08-09 09:02:58.705893308;24;102
2022-08-09 09:03:41.644604762;0;102
2022-08-09 09:04:23.673733708;38;102
2022-08-09 09:05:05.350195648;30;102
2022-08-09 09:05:47.316657841;25;102
2022-08-09 09:06:29.462019558;26;103
2022-08-09 09:07:11.272933070;47;103
2022-08-09 09:07:53.019763359;20;103
2022-08-09 09:08:34.897564094;45;103
2022-08-09 09:09:16.693706650;13;103
2022-08-09 09:09:58.506091614;19;103
2022-08-09 09:10:39.986649366;0;104
2022-08-09 09:11:21.516630093;78;104
2022-08-09 09:12:03.050796337;48;104
2022-08-09 09:12:44.471565245;43;104
2022-08-09 09:13:27.174183319;34;104
2022-08-09 09:14:08.746756358;37;105
2022-08-09 09:14:50.283418382;20;105
2022-08-09 09:15:31.967598355;46;105
2022-08-09 09:16:13.434525757;47;105
2022-08-09 09:16:55.115765187;32;105
2022-08-09 09:17:36.435097656;26;105
2022-08-09 09:18:18.303602380;28;105
2022-08-09 09:18:59.994923929;42;105
2022-08-09 09:19:41.454510153;38;105
2022-08-09 09:20:23.302354550;29;105
2022-08-09 09:21:04.758846592;40;105
2022-08-09 09:21:46.123555559;29;105
2022-08-09 09:22:27.530483853;24;105
2022-08-09 09:23:08.817878564;33;105
2022-08-09 09:23:51.096495455;30;105
2022-08-09 09:24:32.616994851;21;105
2022-08-09 09:25:13.902468603;37;106
2022-08-09 09:25:55.474144411;36;106
2022-08-09 09:26:36.895838777;35;106
2022-08-09 09:27:18.649546643;31;106
2022-08-09 09:28:00.046562897;27;106
2022-08-09 09:28:41.283544366;31;106
2022-08-09 09:29:22.768489157;15;106
2022-08-09 09:30:04.136161467;21;106
